doc_id,source_type,title,content_preview
dsid_8382d90bd5dd46289c813112491c154d,confluence,Private Network: Firewall & Peering Checklist for Enterprise Onboarding,"Purpose  This document is a practical, sequence-driven checklist to validate network, firewall, and peering configurations during enterprise private deployment onboarding (VPC and on-prem). It consolidates recommended rules, verification steps, and escalation paths to minimize go-live delays caused by connectivity issues between customer networks and Redwood Inference Private control and data planes.  Audience  - Customer network and security teams - Redwood Solutions Engineering (SE) and Customer Success (CS) onboarding leads - Redwood Private deployment engineers  Scope and intent  This checklist covers: - Outbound and inbound firewall rules for control plane and data plane services - VPC peering and route validation patterns - Basic NAT and proxy considerations - Diagnostic commands and test vectors to validate traffic flows - Acceptance criteria and how to escalate unresolved issues  Summary of assumptions  1. Customer environment: VPC (AWS/Azure/GCP) or equivalent private network with ability to add routes/security-group/firewall rules. 2. Customer will provide a network contact, CIDR ranges, and preferred peering method (VPC peering, Transit Gateway, PrivateLink, VPN, or dedi"
dsid_6e2108878e5e455790ebd79b3d9e801b,confluence,Migration cutover stability playbook,"Overview  This playbook describes the operational steps, monitoring, and escalation paths to ensure a stable migration/cutover for enterprise customers moving traffic to Redwood (Hosted / Dedicated / Private). It is intended for Customer Success, SRE, and the customer's technical owners. The document covers pre-cutover validation, immediate cutover actions (0–2 hours), degradation thresholds and automated mitigations, rollback criteria, and the 72-hour stabilization window.  When to use  - Planned migrations from another provider or self-hosted inference to Redwood Dedicated or Private. - Large traffic shifts (>= 50% traffic change) or model variant swaps for production customers. - Post-contract go-lives where SLAs and cost constraints are in effect.  Key goals  - Maintain SLOs: p95 latency < 500 ms (generation endpoints), error rate < 0.5% (5xx + client failures), embedding throughput within agreed baseline. - Detect and contain regressions within 5–15 minutes. - Provide deterministic rollback when criteria are exceeded.  Stakeholders and primary contacts  - Customer Success (primary owner): Aisha Patel (lead) — oncall: +1-415-555-0172, pager: @cs-oncall - SRE/Platform: Carlos Ri"
dsid_fac7fd13fd4e44e68b82985482e0f388,confluence,Billing dispute and chargeback resolution playbook,"Summary: This playbook defines the operational process, SLAs, communications templates, and ownership for resolving enterprise billing disputes and chargeback requests during onboarding and the first 90 days post-go-live. It is intended for CSMs, BillingOps, Finance, Support Engineering, and Legal.  Purpose and scope: - Purpose: Reduce mean time to resolution (MTTR) for billing disputes, ensure consistent customer communications, protect revenue recognition, and capture audit evidence for chargebacks or credits. - Scope: Applies to all enterprise tenants (Dedicated and Private) with contract value >= $50k ARR during onboarding and the first 90 days after go-live. Does not replace Finance-led invoicing corrections for legacy invoices; it coordinates with Finance for those cases.  Definitions: - Dispute: A customer-initiated claim that an invoice, usage charge, or billing calculation is incorrect. - Chargeback: A request to reverse or offset billed amount against a future invoice or issue a formal credit. - Priority levels:   1) P0 — Billing outage affecting all invoices or system-side errors that systematically overcharge customers; target acknowledgement < 1 business hour; remediat"
dsid_8bdbc260eebb47de94e1f8f0993480ba,confluence,tenant-chaos-gaming-and-resilience-onboarding-playbook-2026,"Overview:  This playbook defines the tenant-level chaos gaming and synthetic-resilience program used during enterprise onboarding and the first 90 days post-cutover. It standardizes simulated failure scenarios, telemetry assertions, success criteria, and escalation steps to validate that a new tenant meets Redwood Inference stability, performance, and cost-safety requirements prior to and immediately after canary-to-100% rollouts.  Purpose and scope:  - Purpose: Reduce production surprises by exercising realistic failure modes against a customer’s dedicated or private deployment in a controlled, observable way. - Scope: Applies to Dedicated and Private tenants (VPC/on-prem) being onboarded or undergoing major model/capacity cutovers. Does not replace load testing performed by SRE for platform-wide capacity.  Service-level targets (tenant SLOs):  - Availability SLO: 99.95% for API success rate (5xx and client-facing errors excluded per contract). - Median latency target: <120ms for small-gen calls (<128 tokens) during canary windows. - Cost safety guardrail: 2x expected cost spike tolerance during orchestrated synthetic tests; anything beyond triggers immediate throttling.  Owners a"
dsid_2ea8e611a8b448ffab3bc5b927a3d466,confluence,Security review escalation and handoff (CS/Support playbook),"## Purpose This playbook defines how Customer Success (CS) and Support partner with Sales, Solutions Engineering (SE), and Security/GRC during late-stage security reviews. It standardizes: - When and how to loop in Security/GRC - How to handle urgent deadlines and incomplete questionnaires - Escalation tiers, response SLAs, and handoff points - How we avoid unapproved claims and keep a clear audit trail  This is an internal operating document. It references restricted evidence processes (e.g., SOC 2 report) but does not include restricted artifacts.  ---  ## When to use this playbook Use this playbook when any of the following occur: - A prospect/customer requests SOC 2 report, pen test summary, subprocessor list, or other formal evidence. - A prospect/customer sends a security questionnaire, RFP security section, or needs a security addendum. - Procurement/security introduces a hard deadline (\<= 5 business days) or threatens deal delay without answers. - The customer requires deployment-specific assurances (Dedicated vs Private vs Hosted) around data flows, retention, encryption, KMS, logging, SSO/RBAC, or incident notification.  Not in scope: - Product roadmap commitments or “cu"
dsid_d1fb7f13444d4f87b234f97443bd864f,confluence,Onboarding Handback and First-90-Days Operational Guide,"Summary  This document defines the technical handback process and the operational expectations for the first 90 days after an enterprise customer goes live on Redwood Inference (hosted or Dedicated). It is intended for CSMs, Solutions Engineering (SE), Onboarding Engineers, and the L2 oncall team.  Scope  - Applies to enterprise customers with Dedicated or Private deployments and enterprise-level Hosted integrations that require an SE handover. - Covers: handoff checklist, SLA matrix, runbook entries for common post-go-live issues, escalation steps, monitoring baseline, and QBR readiness checklist for the first 90 days.  Goals and success metrics (first 90 days)  - Availability SLO: 99.95% per calendar month for production inference endpoints. - Latency SLO: P95 request-to-first-token < 300 ms for short-text generation workloads (<= 256 tokens) on Dedicated pools. - Error budget: < 0.05% failed requests (5xx) attributable to Redwood services. Customer-side errors (4xx) excluded. - Onboarding health: 80% of customer-defined success criteria met by day 30, 95% by day 90. - QBR readiness: onboarding artifacts, traffic profile, cost trends, and open action items delivered two weeks bef"
dsid_bbc944907f73471ebb009981614a8dff,confluence,Regional compliance and localized onboarding playbook - 2026,"Overview:\n\nThis playbook defines the end-to-end onboarding process for enterprise customers whose accounts require region-specific compliance and localized operational controls. It codifies pre-provisioning checks, region matrices, telemetry gating, localized SLA expectations, and safe rollback procedures. Use this document when the customer requests any of the following:\n\n- Data residency guarantees for a jurisdiction (EU, UK, CA, APAC jurisdictions).\n- Private networking (VPC peering, on-prem deployments, or air-gapped installs).\n- Localized legal or regulatory controls (data classification, DPA/GDPR addenda, sector-specific controls such as HIPAA or FINRA).\n\nScope:\n\nThis playbook applies to:\n- Hosted accounts with region pinning in AWS/EU/GC/East-APAC regions.\n- Redwood Dedicated tenants that must be physically located in a defined region.\n- Redwood Private (VPC/on-prem) with KMS/HSM and audit log routing requirements.\n\nNot in scope: model-level tuning or evaluation procedures (see applied-ml-and-evals), or deep security architecture decisions (see security-and-compliance).\n\nHigh-level objectives:\n- Ensure legal/regulatory boxes are validated before data ingres"
dsid_03ec46de04854476b16d342e41e8973f,confluence,Compact first-responder playbook and light postmortem scaffold,"Summary:\nThis compact playbook is designed for first responders who need focused, action-oriented guidance for common Redwood-serving incidents and a lightweight postmortem template to accelerate learning. It favors short, repeatable actions (micro-runbooks), clear decision points, and prewritten comms to reduce cognitive load during high-severity events. Use this as the primary on-call cheat-sheet; link to deeper runbooks when needed.\n\nScope:\n- Audience: first responders (on-call engineers), bridge operators, support leads.\n- Coverage: performance SLO regressions, KV-cache/embedding cache failures, request throttling/backpressure, model quality regressions, regional connectivity blips, and noisy neighbor incidents.\n- Not for: security incidents (use security incident runbook), full forensic investigations.\n\nHow to use this doc (quick):\n1) Identify the incident class using the ""Incident quick classifier"" below.\n2) Run the micro-runbook for that class (1–3 remediation steps).\n3) If unresolved in 20 minutes or customer-impacting, escalate to the appropriate on-call (pager escalation ladder).\n4) Publish a short customer-facing status update using the template.\n5) After st"
dsid_83f8e37391ca4019b05df888d87c5c74,confluence,Tenant FinOps Cutover & Governance Playbook,"Summary  This playbook defines the operational and governance steps Customer Success, SRE, and FinOps must follow when performing a tenant-level cutover that changes billing or capacity controls (examples: moving a customer from trial to committed Dedicated, enabling quota-protector webhooks, or toggling per-tenant burst limits). The goal is to ensure cost predictability, tenant safety, and clear rollback paths while minimizing customer-visible disruption.  Scope and When to Use this Playbook  - Applies to any tenant cutover that will alter: billing plan, reserved capacity assignment, per-tenant rate/quotas, or cost-protecting automations. - Not for routine model version upgrades or small config tweaks that are covered by our standard canary rollout playbooks.  Definitions  - Cutover: The event during which a tenant transitions from one financial/operational state to another (e.g., trial -> paid committed, hosted -> dedicated, or quota cap changes). - FinOps Gate: A pre-approved financial control threshold that requires Finance + CS sign-off before enabling. - Safety Net: Automated quota/fallback rules that prevent unbounded spend or dangerous latency regressions.  Stakeholders and"
dsid_421474f920f146dd8d5b1edb489c396b,confluence,Enterprise cutover dry-run simulation and QBR blueprint,"Purpose and scope  This playbook defines a repeatable dry-run simulation for enterprise tenant cutovers and a companion synthetic QBR (Quarterly Business Review) blueprint. It is intended for Customer Success, Solutions, and SRE teams running pre-cutover validations and for post-cutover QBRs that validate fidelity, costs, and operational readiness. Use this document for: planning rehearsals, validating telemetry, executing controlled cutovers, and producing a synthetic QBR package for stakeholders.  Key objectives  - Validate end-to-end telemetry, alerting, and cost-attribution for a tenant migration/cutover. - Exercise rollback and failback procedures in a low-risk simulation. - Produce a reproducible synthetic QBR artifact showing availability, inference economics, and quality metrics. - Ensure cross-team coordination and clearly assigned owners for cutover day.  Primary owners and roles  - Cutover Lead: Customer Success (primary contact for the tenant) — owner: Priya Kapoor - Technical Lead: Solutions Engineering (cutover commands and tenant config) — owner: Diego Morales - SRE Lead: Eng-SRE (monitoring, runbook steps, capacity) — owner: Chen Wang - Observability Owner: Eng-Plat"
dsid_343564fd8a09401192f9cdfd31b7b1bb,confluence,Customer Success Observability Onboarding Kit,"Overview:\nThis kit documents the recommended observability and telemetry configuration, validation tests, and post-cutover monitoring runbook that Customer Success and Platform Engineering use to hand off an enterprise customer at go‑live. The goal is to ensure we can reliably measure the customer’s production health within 10 minutes of cutover for the key inference and cost SLOs, and to provide clear stop/rollback criteria if signals indicate instability.\n\nScope:\n- Applies to enterprise Dedicated and Private deployments where Redwood operates a telemetry gatekeeper or where the customer forwards metrics/traces/logs into our observability pipeline.\n- Excludes ad-hoc POCs and single-request evaluation accounts.\n\nAudience:\n- Customer Success Onboarding PMs\n- Platform/Infra Engineers\n- Solutions Engineers and SREs\n\nKey outcomes after following this kit:\n1) Instrumentation baseline is validated (metrics, traces, logs).\n2) Synthetic and real-traffic smoke tests pass for latency, error rate, and cost-attribution.\n3) Dashboards and QBR metric bundles are populated and accessible to the customer and CS.\n4) Clear criteria for rollback or quick mitigation are agreed and auto"
dsid_7525270634c140e78a1d2fe0c9b9f44f,confluence,Regulated Customer Go‑Live & Security Gate Playbook,"Overview -------- This playbook documents the go‑live gating criteria, runbook steps, and operational handoff for regulated enterprise customers (examples: finance, healthcare, govt). It is intended for Customer Success (CS), Security, SRE, and the customer’s technical contacts. The goal is to ensure a predictable, auditable, and secure path to production that satisfies common regulatory demands: data residency, encryption, audit logging, and least privilege.  Summary of purpose: - Standardize go‑live gates for regulated customers. - Provide a reproducible checklist owners can run prior to final cutover. - Define rollback criteria and escalation paths if post‑go‑live thresholds are violated.  Scope ----- Applies to: Redwood Hosted API, Dedicated, and Private deployments where the customer requires regulatory controls beyond our standard onboarding. Not for internal prototype or POC environments.  Key owners and contacts ----------------------- - CS Lead / Primary: Asha Menon (Customer Success) — final go/no‑go authority for commercial readiness. - Security Reviewer: Priya Desai (Security) — approves encryption, KMS, and audit log configuration. - SRE Lead: Marco Alvarez (SRE) — val"
